date,campaign_id,creative_id,impressions,clicks,conversions,spend,revenue,currency
2026-06-08,C001,CR001,676,75,5,149.56,799.52,USD
2026-06-08,C001,CR002,479,53,5,105.62,782.57,USD
2026-06-08,C002,CR003,2579,132,7,323.00,1106.82,USD
2026-06-08,C002,CR004,1631,94,5,232.09,802.13,USD
2026-06-08,C002,CR005,1896,93,4,240.34,583.78,USD
2026-06-08,C002,CR006,1008,57,2,138.99,302.24,USD
2026-06-08,C003,CR007,17723,994,15,22440.51,23744.27,INR
2026-06-08,C003,CR008,12145,781,10,17031.96,15657.67,INR
2026-06-08,C004,CR009,26874,309,7,368.18,1166.50,USD
2026-06-08,C004,CR010,28159,335,9,353.44,1561.09,USD
2026-06-08,C004,CR011,19278,251,7,298.44,1204.25,USD
2026-06-08,C005,CR013,19809,361,23,342.17,1697.98,USD
2026-06-08,C005,CR014,8174,157,9,152.70,744.87,USD
2026-06-08,C006,CR015,318534,3091,15,26412.42,21017.88,INR
2026-06-08,C006,CR016,277809,2787,17,26676.75,23555.09,INR
2026-06-08,C006,CR017,238213,2104,9,19610.27,13027.14,INR
2026-06-08,C008,CR021,3690588,16482,8,57964.63,11413.78,INR
2026-06-08,C008,CR022,2276120,10591,5,38058.66,7077.78,INR
2026-06-08,C010,CR025,6210,33,3,426.93,1497.25,USD
2026-06-08,C010,CR026,5316,27,2,331.91,1085.81,USD
2026-06-08,C010,CR027,2629,16,2,204.41,1052.86,USD
2026-06-09,C001,CR001,729,91,8,156.38,1310.14,USD
2026-06-09,C001,CR002,479,56,6,104.50,1039.80,USD
2026-06-09,C002,CR003,2083,111,5,282.06,818.64,USD
2026-06-09,C002,CR004,1749,98,4,245.51,629.28,USD
2026-06-09,C002,CR005,1800,95,3,237.98,424.99,USD
2026-06-09,C002,CR006,1131,56,3,152.74,421.73,USD
2026-06-09,C003,CR007,16706,978,14,20385.96,21300.52,INR
2026-06-09,C003,CR008,13665,810,13,18591.67,20313.78,INR
2026-06-09,C004,CR009,25698,340,8,350.22,1359.87,USD
2026-06-09,C004,CR010,29408,348,8,393.69,1278.06,USD
2026-06-09,C004,CR011,25444,299,7,307.59,1158.26,USD
2026-06-09,C005,CR013,19385,357,21,322.60,1711.65,USD
2026-06-09,C005,CR014,10484,176,13,159.38,1025.89,USD
2026-06-09,C006,CR015,297460,2889,15,27411.57,18736.46,INR
2026-06-09,C006,CR016,300423,2972,14,27162.45,17799.74,INR
2026-06-09,C006,CR017,200881,2013,12,18036.47,16939.84,INR
2026-06-09,C008,CR021,3393612,14026,6,54696.96,8069.87,INR
2026-06-09,C008,CR022,2562160,10022,4,34575.26,6040.81,INR
2026-06-09,C010,CR025,5488,29,3,368.68,1486.19,USD
2026-06-09,C010,CR026,4462,27,2,334.48,1072.39,USD
