date,currency,rate_to_usd
2026-06-01,USD,1.000000
2026-06-01,INR,0.011525
2026-06-02,USD,1.000000
2026-06-02,INR,0.011500
2026-06-03,USD,1.000000
2026-06-03,INR,0.011539
2026-06-04,USD,1.000000
2026-06-04,INR,0.011536
2026-06-05,USD,1.000000
2026-06-05,INR,0.011511
2026-06-06,USD,1.000000
2026-06-06,INR,0.011489
2026-06-07,USD,1.000000
2026-06-07,INR,0.011503
2026-06-08,USD,1.000000
2026-06-08,INR,0.011467
2026-06-09,USD,1.000000
2026-06-09,INR,0.011502
2026-06-10,USD,1.000000
2026-06-10,INR,0.011494
2026-06-11,USD,1.000000
2026-06-11,INR,0.011480
2026-06-12,USD,1.000000
2026-06-12,INR,0.011489
2026-06-13,USD,1.000000
2026-06-13,INR,0.011491
2026-06-14,USD,1.000000
2026-06-14,INR,0.011494
2026-06-15,USD,1.000000
2026-06-15,INR,0.011446
2026-06-16,USD,1.000000
2026-06-16,INR,0.011451
2026-06-17,USD,1.000000
2026-06-17,INR,0.011475
2026-06-18,USD,1.000000
2026-06-18,INR,0.011457
2026-06-19,USD,1.000000
2026-06-19,INR,0.011450
2026-06-20,USD,1.000000
2026-06-20,INR,0.011474
2026-06-21,USD,1.000000
2026-06-21,INR,0.011433
2026-06-22,USD,1.000000
2026-06-22,INR,0.011427
2026-06-23,USD,1.000000
2026-06-23,INR,0.011420
2026-06-24,USD,1.000000
2026-06-24,INR,0.011467
2026-06-25,USD,1.000000
2026-06-25,INR,0.011421
2026-06-26,USD,1.000000
2026-06-26,INR,0.011434
2026-06-27,USD,1.000000
2026-06-27,INR,0.011411
2026-06-28,USD,1.000000
2026-06-28,INR,0.011429
2026-06-29,USD,1.000000
2026-06-29,INR,0.011431
2026-06-30,USD,1.000000
2026-06-30,INR,0.011391
2026-07-01,USD,1.000000
2026-07-01,INR,0.011398
2026-07-02,USD,1.000000
2026-07-02,INR,0.011391
2026-07-03,USD,1.000000
2026-07-03,INR,0.011425
2026-07-04,USD,1.000000
2026-07-04,INR,0.011430
2026-07-05,USD,1.000000
2026-07-05,INR,0.011402
2026-07-06,USD,1.000000
2026-07-06,INR,0.011397
2026-07-07,USD,1.000000
2026-07-07,INR,0.011414
2026-07-08,USD,1.000000
2026-07-08,INR,0.011411
2026-07-09,USD,1.000000
2026-07-09,INR,0.011364
2026-07-10,USD,1.000000
2026-07-10,INR,0.011375
2026-07-11,USD,1.000000
2026-07-11,INR,0.011371
2026-07-12,USD,1.000000
2026-07-12,INR,0.011357
2026-07-13,USD,1.000000
2026-07-13,INR,0.011372
2026-07-14,USD,1.000000
2026-07-14,INR,0.011341
2026-07-15,USD,1.000000
2026-07-15,INR,0.011373
2026-07-16,USD,1.000000
2026-07-16,INR,0.011366
2026-07-17,USD,1.000000
2026-07-17,INR,0.011372
2026-07-18,USD,1.000000
2026-07-18,INR,0.011355
2026-07-20,USD,1.000000
2026-07-20,INR,0.011327
2026-07-21,USD,1.000000
2026-07-21,INR,0.011343
2026-07-22,USD,1.000000
2026-07-22,INR,0.011347
2026-07-23,USD,1.000000
2026-07-23,INR,0.011352
2026-07-24,USD,1.000000
2026-07-24,INR,0.011334
2026-07-25,USD,1.000000
2026-07-25,INR,0.011339
2026-07-26,USD,1.000000
2026-07-26,INR,0.011318
2026-07-27,USD,1.000000
2026-07-27,INR,0.011306
2026-07-28,USD,1.000000
2026-07-28,INR,0.011343
2026-07-29,USD,1.000000
2026-07-29,INR,0.011320
2026-07-30,USD,1.000000
2026-07-30,INR,0.011314
2026-07-31,USD,1.000000
2026-07-31,INR,0.011323
2026-08-01,USD,1.000000
2026-08-01,INR,0.011298
2026-08-02,USD,1.000000
2026-08-02,INR,0.011280
2026-08-03,USD,1.000000
2026-08-03,INR,0.011293
2026-08-04,USD,1.000000
2026-08-04,INR,0.011298
2026-08-05,USD,1.000000
2026-08-05,INR,0.011284
2026-08-06,USD,1.000000
2026-08-06,INR,0.011262
2026-08-07,USD,1.000000
2026-08-07,INR,0.011300
2026-08-08,USD,1.000000
2026-08-08,INR,0.011259
2026-08-09,USD,1.000000
2026-08-09,INR,0.011300
2026-08-10,USD,1.000000
2026-08-10,INR,0.011253
2026-08-11,USD,1.000000
2026-08-11,INR,0.011254
2026-08-12,USD,1.000000
2026-08-12,INR,0.011266
2026-08-13,USD,1.000000
2026-08-13,INR,0.011288
2026-08-14,USD,1.000000
2026-08-14,INR,0.011244
2026-08-17,USD,1.000000
2026-08-17,INR,0.011226
2026-08-18,USD,1.000000
2026-08-18,INR,0.011271
2026-08-19,USD,1.000000
2026-08-19,INR,0.011264
2026-08-20,USD,1.000000
2026-08-20,INR,0.011255
2026-08-21,USD,1.000000
2026-08-21,INR,0.011215
2026-08-22,USD,1.000000
2026-08-22,INR,0.011254
2026-08-23,USD,1.000000
2026-08-23,INR,0.011235
2026-08-24,USD,1.000000
2026-08-24,INR,0.011221
2026-08-25,USD,1.000000
2026-08-25,INR,0.011199
2026-08-26,USD,1.000000
2026-08-26,INR,0.011217
2026-08-27,USD,1.000000
2026-08-27,INR,0.011189
2026-08-28,USD,1.000000
2026-08-28,INR,0.011202
2026-08-29,USD,1.000000
2026-08-29,INR,0.011185
2026-08-30,USD,1.000000
2026-08-30,INR,0.011207
2026-08-31,USD,1.000000
2026-08-31,INR,0.011178
2026-09-01,USD,1.000000
2026-09-01,INR,0.011205
2026-09-02,USD,1.000000
2026-09-02,INR,0.011203
2026-09-03,USD,1.000000
2026-09-03,INR,0.011207
